Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
-----------------------------------------------------------------------
Vardas70            Pavarde70           5.00                5.00                
Vardas89            Pavarde89           5.00                5.40                
Vardas139           Pavarde139          5.00                5.00                
Vardas259           Pavarde259          5.00                5.00                
Vardas293           Pavarde293          5.00                4.20                
Vardas617           Pavarde617          5.00                4.60                
Vardas764           Pavarde764          5.00                5.00                
Vardas1026          Pavarde1026         5.00                5.00                
Vardas1251          Pavarde1251         5.00                5.00                
Vardas1313          Pavarde1313         5.00                5.00                
Vardas1363          Pavarde1363         5.00                5.40                
Vardas1505          Pavarde1505         5.00                5.00                
Vardas1529          Pavarde1529         5.00                5.00                
Vardas1594          Pavarde1594         5.00                4.60                
Vardas1688          Pavarde1688         5.00                5.00                
Vardas2006          Pavarde2006         5.00                4.60                
Vardas2311          Pavarde2311         5.00                5.00                
Vardas2326          Pavarde2326         5.00                5.40                
Vardas2327          Pavarde2327         5.00                4.60                
Vardas2546          Pavarde2546         5.00                5.00                
Vardas2703          Pavarde2703         5.00                5.00                
Vardas2855          Pavarde2855         5.00                5.00                
Vardas3031          Pavarde3031         5.00                5.40                
Vardas3037          Pavarde3037         5.00                5.00                
Vardas3097          Pavarde3097         5.00                5.40                
Vardas3108          Pavarde3108         5.00                4.60                
Vardas3169          Pavarde3169         5.00                5.00                
Vardas3263          Pavarde3263         5.00                4.60                
Vardas3424          Pavarde3424         5.00                5.40                
Vardas3696          Pavarde3696         5.00                4.60                
Vardas3892          Pavarde3892         5.00                5.40                
Vardas4145          Pavarde4145         5.00                5.40                
Vardas4622          Pavarde4622         5.00                5.40                
Vardas4762          Pavarde4762         5.00                5.00                
Vardas4772          Pavarde4772         5.00                5.80                
Vardas4953          Pavarde4953         5.00                5.40                
Vardas5036          Pavarde5036         5.00                4.60                
Vardas5874          Pavarde5874         5.00                5.40                
Vardas5882          Pavarde5882         5.00                5.00                
Vardas5890          Pavarde5890         5.00                5.40                
Vardas5989          Pavarde5989         5.00                5.00                
Vardas6400          Pavarde6400         5.00                5.40                
Vardas6478          Pavarde6478         5.00                5.40                
Vardas6498          Pavarde6498         5.00                5.40                
Vardas6591          Pavarde6591         5.00                5.00                
Vardas7176          Pavarde7176         5.00                4.60                
Vardas7372          Pavarde7372         5.00                5.80                
Vardas7727          Pavarde7727         5.00                4.60                
Vardas7864          Pavarde7864         5.00                5.00                
Vardas7990          Pavarde7990         5.00                5.40                
Vardas8014          Pavarde8014         5.00                5.40                
Vardas8598          Pavarde8598         5.00                5.40                
Vardas8609          Pavarde8609         5.00                5.40                
Vardas8640          Pavarde8640         5.00                5.00                
Vardas8788          Pavarde8788         5.00                5.00                
Vardas8895          Pavarde8895         5.00                4.60                
Vardas9286          Pavarde9286         5.00                5.00                
Vardas9418          Pavarde9418         5.00                5.40                
Vardas9420          Pavarde9420         5.00                5.00                
Vardas9491          Pavarde9491         5.00                5.00                
Vardas9543          Pavarde9543         5.00                5.40                
Vardas9737          Pavarde9737         5.00                5.40                
