Vardas              Pavarde             Galutinis (Vid.)    Galutinis (Med.)    
-----------------------------------------------------------------------
Vardas20342         Pavarde20342        0.08                0.00                
Vardas69834         Pavarde69834        0.16                0.00                
Vardas86125         Pavarde86125        0.16                0.00                
Vardas86327         Pavarde86327        0.16                0.00                
Vardas94839         Pavarde94839        0.24                0.00                
Vardas743           Pavarde743          0.40                0.00                
Vardas29561         Pavarde29561        0.40                0.00                
Vardas51360         Pavarde51360        0.40                0.40                
Vardas52947         Pavarde52947        0.40                0.40                
Vardas61578         Pavarde61578        0.40                0.40                
Vardas91568         Pavarde91568        0.40                0.00                
Vardas270           Pavarde270          0.48                0.40                
Vardas3041          Pavarde3041         0.48                0.00                
Vardas17747         Pavarde17747        0.48                0.40                
Vardas29236         Pavarde29236        0.48                0.40                
Vardas34417         Pavarde34417        0.48                0.40                
Vardas79049         Pavarde79049        0.48                0.40                
Vardas91398         Pavarde91398        0.48                0.40                
Vardas21054         Pavarde21054        0.56                0.40                
Vardas29533         Pavarde29533        0.56                0.40                
Vardas31245         Pavarde31245        0.56                0.80                
Vardas36502         Pavarde36502        0.56                0.00                
Vardas38394         Pavarde38394        0.56                0.80                
Vardas40689         Pavarde40689        0.56                0.40                
Vardas51521         Pavarde51521        0.56                0.40                
Vardas59752         Pavarde59752        0.56                0.40                
Vardas62667         Pavarde62667        0.56                0.40                
Vardas65044         Pavarde65044        0.56                0.80                
Vardas86830         Pavarde86830        0.56                0.80                
Vardas93637         Pavarde93637        0.56                0.80                
Vardas99435         Pavarde99435        0.56                0.40                
Vardas8158          Pavarde8158         0.64                0.40                
Vardas8758          Pavarde8758         0.64                0.00                
Vardas9559          Pavarde9559         0.64                0.40                
Vardas10157         Pavarde10157        0.64                0.40                
Vardas30071         Pavarde30071        0.64                0.40                
Vardas31753         Pavarde31753        0.64                0.80                
Vardas32845         Pavarde32845        0.64                0.40                
Vardas34652         Pavarde34652        0.64                0.40                
Vardas37397         Pavarde37397        0.64                0.40                
