Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       Egzaminas 
Vardas1             Pavarde1            7         8         3         9         8         8         
Vardas2             Pavarde2            8         4         2         10        6         0         
Vardas3             Pavarde3            10        2         10        4         8         1         
Vardas4             Pavarde4            4         7         9         10        2         8         
Vardas5             Pavarde5            5         10        7         6         2         6         
Vardas6             Pavarde6            6         9         2         2         9         2         
Vardas7             Pavarde7            4         9         1         10        3         3         
Vardas8             Pavarde8            8         9         7         2         6         8         
Vardas9             Pavarde9            7         0         1         1         9         3         
Vardas10            Pavarde10           5         9         0         10        7         8         
Vardas11            Pavarde11           7         0         8         1         6         6         
Vardas12            Pavarde12           0         6         6         10        0         5         
Vardas13            Pavarde13           0         4         1         2         1         4         
Vardas14            Pavarde14           6         0         4         5         7         5         
Vardas15            Pavarde15           7         2         3         9         10        8         
Vardas16            Pavarde16           5         7         5         4         5         3         
Vardas17            Pavarde17           1         10        9         5         10        0         
Vardas18            Pavarde18           4         10        4         10        1         2         
Vardas19            Pavarde19           7         3         5         7         0         10        
Vardas20            Pavarde20           9         4         9         6         1         9         
Vardas21            Pavarde21           2         0         8         1         1         0         
Vardas22            Pavarde22           9         3         8         9         1         10        
Vardas23            Pavarde23           8         3         2         2         5         7         
Vardas24            Pavarde24           4         6         1         8         10        5         
Vardas25            Pavarde25           6         1         4         2         1         3         
Vardas26            Pavarde26           3         1         0         8         9         0         
Vardas27            Pavarde27           5         4         8         2         10        0         
Vardas28            Pavarde28           2         6         4         5         3         2         
Vardas29            Pavarde29           4         3         1         2         2         2         
Vardas30            Pavarde30           6         1         4         8         5         8         
Vardas31            Pavarde31           9         10        9         4         10        0         
Vardas32            Pavarde32           4         6         7         7         8         8         
Vardas33            Pavarde33           4         10        3         5         5         5         
Vardas34            Pavarde34           8         0         0         2         1         3         
Vardas35            Pavarde35           10        1         7         8         1         8         
Vardas36            Pavarde36           10        0         4         7         1         7         
Vardas37            Pavarde37           4         8         7         2         0         9         
Vardas38            Pavarde38           8         10        8         1         6         2         
Vardas39            Pavarde39           6         6         5         5         6         6         
Vardas40            Pavarde40           9         3         9         9         10        0         
Vardas41            Pavarde41           5         7         2         9         0         5         
Vardas42            Pavarde42           2         3         4         4         0         8         
Vardas43            Pavarde43           5         2         10        1         4         5         
Vardas44            Pavarde44           7         9         9         0         7         3         
Vardas45            Pavarde45           7         10        8         1         10        9         
Vardas46            Pavarde46           9         5         4         2         7         9         
Vardas47            Pavarde47           0         10        4         10        8         3         
Vardas48            Pavarde48           6         4         3         2         2         7         
Vardas49            Pavarde49           6         4         9         7         6         5         
Vardas50            Pavarde50           0         2         3         1         3         2         
Vardas51            Pavarde51           7         6         9         1         4         8         
Vardas52            Pavarde52           5         9         10        8         0         8         
Vardas53            Pavarde53           3         4         6         4         7         5         
Vardas54            Pavarde54           4         1         3         8         6         4         
Vardas55            Pavarde55           9         1         2         9         9         6         
Vardas56            Pavarde56           3         3         1         1         7         9         
Vardas57            Pavarde57           5         2         4         1         1         10        
Vardas58            Pavarde58           8         6         8         7         1         0         
Vardas59            Pavarde59           5         2         6         3         3         7         
Vardas60            Pavarde60           10        2         9         5         5         5         
Vardas61            Pavarde61           9         9         6         5         10        8         
Vardas62            Pavarde62           0         8         0         8         10        8         
Vardas63            Pavarde63           2         5         10        9         7         3         
Vardas64            Pavarde64           8         9         9         4         5         2         
Vardas65            Pavarde65           3         3         7         7         9         0         
Vardas66            Pavarde66           10        10        8         8         8         7         
Vardas67            Pavarde67           4         0         2         2         9         9         
Vardas68            Pavarde68           2         8         10        7         1         1         
Vardas69            Pavarde69           7         1         6         10        7         6         
Vardas70            Pavarde70           5         4         1         8         4         7         
Vardas71            Pavarde71           4         4         2         9         0         7         
Vardas72            Pavarde72           10        5         3         9         7         7         
Vardas73            Pavarde73           6         1         4         8         7         9         
Vardas74            Pavarde74           4         10        6         5         0         4         
Vardas75            Pavarde75           2         6         7         4         3         8         
Vardas76            Pavarde76           4         5         2         2         0         10        
Vardas77            Pavarde77           7         1         3         0         5         5         
Vardas78            Pavarde78           3         6         8         9         3         1         
Vardas79            Pavarde79           2         6         10        7         1         6         
